Bulk mode; whois.cymru.com [2014-06-11 20:19:11 +0000]
4808    | 1.93.24.12       | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
4847    | 1.93.24.12       | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CNIX-AP China Networks Inter-Exchange,CN
4808    | 1.93.24.19       | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
4847    | 1.93.24.19       | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CNIX-AP China Networks Inter-Exchange,CN
4808    | 1.93.26.10       | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
4847    | 1.93.26.10       | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CNIX-AP China Networks Inter-Exchange,CN
4808    | 1.93.27.46       | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
4847    | 1.93.27.46       | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CNIX-AP China Networks Inter-Exchange,CN
4808    | 1.93.29.75       | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
4847    | 1.93.29.75       | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CNIX-AP China Networks Inter-Exchange,CN
4808    | 1.93.32.212      | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
4847    | 1.93.32.212      | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CNIX-AP China Networks Inter-Exchange,CN
4808    | 1.93.33.226      | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
4847    | 1.93.33.226      | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CNIX-AP China Networks Inter-Exchange,CN
4808    | 1.93.34.216      | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
4847    | 1.93.34.216      | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CNIX-AP China Networks Inter-Exchange,CN
4808    | 1.93.37.231      | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network,CN
4847    | 1.93.37.231      | 1.93.0.0/16         | CN | apnic    | 2010-08-05 | CNIX-AP China Networks Inter-Exchange,CN
