rwfind -- Mon, 01 Oct 2012 16:26:37 -0700

Found 12 flows over the last 30 days to/from the following:
58.64.155.59
58.64.155.57
58.64.143.245
58.64.158.111
64.26.174.74
134.255.242.47
113.10.180.163
113.10.103.170
113.10.113.39

            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|                  sTime|      dur|
  156.74.107.51|   64.26.174.74| 1791|   80|  6|         7|       749|2012/09/01T07:39:36.352|   13.312|
   64.26.174.74|  156.74.107.51|   80| 1791|  6|         8|      4669|2012/09/01T07:39:36.481|   11.008|
  156.74.107.51|   64.26.174.74| 1791|   80|  6|         7|       749|2012/09/01T07:39:36.531|   13.248|
 156.74.157.157|   64.26.174.74| 3962|   80|  6|        13|      2425|2012/09/27T16:57:06.260|    1.344|
 156.74.157.157|   64.26.174.74| 3962|   80|  6|        13|      2425|2012/09/27T16:57:06.296|    1.408|
   64.26.174.74| 156.74.157.157|   80| 3962|  6|        16|     14240|2012/09/27T16:57:06.325|    1.280|
 156.74.157.157|   64.26.174.74| 3963|   80|  6|        43|      4477|2012/09/27T16:57:06.836|    6.720|
 156.74.157.157|   64.26.174.74| 3963|   80|  6|        43|      4477|2012/09/27T16:57:06.874|    6.784|
   64.26.174.74| 156.74.157.157|   80| 3963|  6|        88|    112225|2012/09/27T16:57:06.901|    6.656|
 156.74.157.157|   64.26.174.74| 3964|   80|  6|        24|      2200|2012/09/27T16:57:12.790|   19.200|
 156.74.157.157|   64.26.174.74| 3964|   80|  6|        24|      2200|2012/09/27T16:57:12.828|   19.200|
   64.26.174.74| 156.74.157.157|   80| 3964|  6|        52|     64845|2012/09/27T16:57:12.855|   15.808|

